,,barcode_types,
TPDNAP-DE4-TPDNAP,U15-G12,Barcode19,Barcode34
TPDNAP-DE4-TPDNAP,U15-G2,Barcode19,Barcode4
TPDNAP-DE4-TPDNAP,U15-G3,Barcode19,Barcode7
TPDNAP-DE4-TPDNAP,U15-G4,Barcode19,Barcode10
TPDNAP-DE4-TPDNAP,U15-G5,Barcode19,Barcode13
TPDNAP-DE4-TPDNAP,U15-G6,Barcode19,Barcode16
TPDNAP-DE4-TPDNAP,U15-G7,Barcode19,Barcode19
TPDNAP-DE4-TPDNAP,U15-G8,Barcode19,Barcode22
TPDNAP-DE4-TPDNAP,U15-G9,Barcode19,Barcode25
TPDNAP-DE4-TPDNAP,U58-B2,Barcode4,Barcode4
TPDNAP-DE4-TPDNAP,U58-B4,Barcode4,Barcode10
TPDNAP-DE4-TPDNAP,U58-B5,Barcode4,Barcode13
TPDNAP-DE4-TPDNAP,U58-B6,Barcode4,Barcode16
TPDNAP-DE4-TPDNAP,U58-B7,Barcode4,Barcode19
TPDNAP-DE4-TPDNAP,U58-B8,Barcode4,Barcode22
TPDNAP-DE4-TPDNAP,U58-B9,Barcode4,Barcode25
TPDNAP-DE4-TPDNAP,U58-C1,Barcode7,Barcode1
TPDNAP-DE4-TPDNAP,U58-C2,Barcode7,Barcode4
TPDNAP-DE4-TPDNAP,U58-C3,Barcode7,Barcode7
TPDNAP-DE4-TPDNAP,U58-C4,Barcode7,Barcode10
TPDNAP-DE4-TPDNAP,U58-C5,Barcode7,Barcode13
TPDNAP-DE4-TPDNAP,U58-C6,Barcode7,Barcode16
TPDNAP-DE4-TPDNAP,U58-C7,Barcode7,Barcode19
TPDNAP-DE4-TPDNAP,U58-C8,Barcode7,Barcode22
TPDNAP-DE4-TPDNAP,U58-C9,Barcode7,Barcode25
TPDNAP-DE4-TPDNAP,U58new-C10,Barcode7,Barcode28
TPDNAP-DE4-TPDNAP,U58new-C11,Barcode7,Barcode31
TPDNAP-DE4-TPDNAP,U58new-C12,Barcode7,Barcode34
TPDNAP-DE4-TPDNAP,U710-H1,Barcode22,Barcode1
TPDNAP-DE4-TPDNAP,U710-H10,Barcode22,Barcode28
TPDNAP-DE4-TPDNAP,U710-H11,Barcode22,Barcode31
TPDNAP-DE4-TPDNAP,U710-H12,Barcode22,Barcode34
TPDNAP-DE4-TPDNAP,U710-H2,Barcode22,Barcode4
TPDNAP-DE4-TPDNAP,U710-H3,Barcode22,Barcode7
TPDNAP-DE4-TPDNAP,U710-H4,Barcode22,Barcode10
TPDNAP-DE4-TPDNAP,U710-H5,Barcode22,Barcode13
TPDNAP-DE4-TPDNAP,U710-H6,Barcode22,Barcode16
TPDNAP-DE4-TPDNAP,U710-H7,Barcode22,Barcode19
TPDNAP-DE4-TPDNAP,U710-H8,Barcode22,Barcode22
TPDNAP-DE4-TPDNAP,U710-H9,Barcode22,Barcode25
TPDNAP-DE4-TPDNAP,U910-E1,Barcode13,Barcode1
TPDNAP-DE4-TPDNAP,U910-F1,Barcode16,Barcode1
TPDNAP-DE4-TPDNAP,U910-F10,Barcode16,Barcode28
TPDNAP-DE4-TPDNAP,U910-F11,Barcode16,Barcode31
TPDNAP-DE4-TPDNAP,U910-F12,Barcode16,Barcode34
TPDNAP-DE4-TPDNAP,U910-F2,Barcode16,Barcode4
TPDNAP-DE4-TPDNAP,U910-F3,Barcode16,Barcode7
TPDNAP-DE4-TPDNAP,U910-F4,Barcode16,Barcode10
TPDNAP-DE4-TPDNAP,U910-F5,Barcode16,Barcode13
TPDNAP-DE4-TPDNAP,U910-F6,Barcode16,Barcode16
TPDNAP-DE4-TPDNAP,U910-F7,Barcode16,Barcode19
TPDNAP-DE4-TPDNAP,U910-F8,Barcode16,Barcode22
TPDNAP-DE4-TPDNAP,U910-F9,Barcode16,Barcode25
TPDNAP-DE4-TPDNAP,UW12-A1,Barcode1,Barcode1
TPDNAP-DE4-TPDNAP,UW12-A2,Barcode1,Barcode4
TPDNAP-DE4-TPDNAP,UW12-A3,Barcode1,Barcode7
TPDNAP-DE4-TPDNAP,UW12-A4,Barcode1,Barcode10
TPDNAP-DE4-TPDNAP,UW34-A5,Barcode1,Barcode13
TPDNAP-DE4-TPDNAP,UW34-A6,Barcode1,Barcode16
TPDNAP-DE4-TPDNAP,UW5-A10,Barcode1,Barcode28
TPDNAP-DE4-TPDNAP,UW5-A7,Barcode1,Barcode19
TPDNAP-DE4-TPDNAP,UW5-A8,Barcode1,Barcode22
TPDNAP-DE4-TPDNAP,UW5-A9,Barcode1,Barcode25
TPDNAP-DE4-TPDNAP,UW78-A11,Barcode1,Barcode31
TPDNAP-DE4-TPDNAP,UW78-A12,Barcode1,Barcode34
TPDNAP-DE4-TPDNAP,UW78-B11,Barcode4,Barcode31
TPDNAP-DE4-TPDNAP,UW78-B12,Barcode4,Barcode34
TPDNAP-DE4-TPDNAP,UW78new-B10,Barcode4,Barcode28
TPDNAP-DE4-TPDNAP,noDNActrl,Barcode4,Barcode7
TPDNAP-DE4-TPDNAP-UMI,pGR572ctrl,Barcode4,Barcode1
TPDNAP-DE4-TPDNAP-UMI,U14-D1,Barcode10,Barcode1
TPDNAP-DE4-TPDNAP-UMI,U14-D10,Barcode10,Barcode28
TPDNAP-DE4-TPDNAP-UMI,U14-D11,Barcode10,Barcode31
TPDNAP-DE4-TPDNAP-UMI,U14-D12,Barcode10,Barcode34
TPDNAP-DE4-TPDNAP-UMI,U14-D2,Barcode10,Barcode4
TPDNAP-DE4-TPDNAP-UMI,U14-D3,Barcode10,Barcode7
TPDNAP-DE4-TPDNAP-UMI,U14-D4,Barcode10,Barcode10
TPDNAP-DE4-TPDNAP-UMI,U14-D5,Barcode10,Barcode13
TPDNAP-DE4-TPDNAP-UMI,U14-D6,Barcode10,Barcode16
TPDNAP-DE4-TPDNAP-UMI,U14-D7,Barcode10,Barcode19
TPDNAP-DE4-TPDNAP-UMI,U14-D8,Barcode10,Barcode22
TPDNAP-DE4-TPDNAP-UMI,U14-D9,Barcode10,Barcode25
TPDNAP-DE4-TPDNAP-UMI,U14-E10,Barcode13,Barcode28
TPDNAP-DE4-TPDNAP-UMI,U14-E11,Barcode13,Barcode31
TPDNAP-DE4-TPDNAP-UMI,U14-E12,Barcode13,Barcode34
TPDNAP-DE4-TPDNAP-UMI,U14-E2,Barcode13,Barcode4
TPDNAP-DE4-TPDNAP-UMI,U14-E3,Barcode13,Barcode7
TPDNAP-DE4-TPDNAP-UMI,U14-E4,Barcode13,Barcode10
TPDNAP-DE4-TPDNAP-UMI,U14-E5,Barcode13,Barcode13
TPDNAP-DE4-TPDNAP-UMI,U14-E6,Barcode13,Barcode16
TPDNAP-DE4-TPDNAP-UMI,U14-E7,Barcode13,Barcode19
TPDNAP-DE4-TPDNAP-UMI,U14-E8,Barcode13,Barcode22
TPDNAP-DE4-TPDNAP-UMI,U14-E9,Barcode13,Barcode25
TPDNAP-DE4-TPDNAP-UMI,U15-G1,Barcode19,Barcode1
TPDNAP-DE4-TPDNAP-UMI,U15-G10,Barcode19,Barcode28
TPDNAP-DE4-TPDNAP-UMI,U15-G11,Barcode19,Barcode31
TPDNAP-DE4-TPDNAP-UMI,U15-G12,Barcode19,Barcode34
TPDNAP-DE4-TPDNAP-UMI,U15-G2,Barcode19,Barcode4
TPDNAP-DE4-TPDNAP-UMI,U15-G3,Barcode19,Barcode7
TPDNAP-DE4-TPDNAP-UMI,U15-G4,Barcode19,Barcode10
TPDNAP-DE4-TPDNAP-UMI,U15-G5,Barcode19,Barcode13
TPDNAP-DE4-TPDNAP-UMI,U15-G6,Barcode19,Barcode16
TPDNAP-DE4-TPDNAP-UMI,U15-G7,Barcode19,Barcode19
TPDNAP-DE4-TPDNAP-UMI,U15-G8,Barcode19,Barcode22
TPDNAP-DE4-TPDNAP-UMI,U15-G9,Barcode19,Barcode25
TPDNAP-DE4-TPDNAP-UMI,U58-B2,Barcode4,Barcode4
TPDNAP-DE4-TPDNAP-UMI,U58-B4,Barcode4,Barcode10
TPDNAP-DE4-TPDNAP-UMI,U58-B5,Barcode4,Barcode13
TPDNAP-DE4-TPDNAP-UMI,U58-B6,Barcode4,Barcode16
TPDNAP-DE4-TPDNAP-UMI,U58-B7,Barcode4,Barcode19
TPDNAP-DE4-TPDNAP-UMI,U58-B8,Barcode4,Barcode22
TPDNAP-DE4-TPDNAP-UMI,U58-B9,Barcode4,Barcode25
TPDNAP-DE4-TPDNAP-UMI,U58-C1,Barcode7,Barcode1
TPDNAP-DE4-TPDNAP-UMI,U58-C2,Barcode7,Barcode4
TPDNAP-DE4-TPDNAP-UMI,U58-C3,Barcode7,Barcode7
TPDNAP-DE4-TPDNAP-UMI,U58-C4,Barcode7,Barcode10
TPDNAP-DE4-TPDNAP-UMI,U58-C5,Barcode7,Barcode13
TPDNAP-DE4-TPDNAP-UMI,U58-C6,Barcode7,Barcode16
TPDNAP-DE4-TPDNAP-UMI,U58-C7,Barcode7,Barcode19
TPDNAP-DE4-TPDNAP-UMI,U58-C8,Barcode7,Barcode22
TPDNAP-DE4-TPDNAP-UMI,U58-C9,Barcode7,Barcode25
TPDNAP-DE4-TPDNAP-UMI,U58new-C10,Barcode7,Barcode28
TPDNAP-DE4-TPDNAP-UMI,U58new-C11,Barcode7,Barcode31
TPDNAP-DE4-TPDNAP-UMI,U58new-C12,Barcode7,Barcode34
TPDNAP-DE4-TPDNAP-UMI,U710-H1,Barcode22,Barcode1
TPDNAP-DE4-TPDNAP-UMI,U710-H10,Barcode22,Barcode28
TPDNAP-DE4-TPDNAP-UMI,U710-H11,Barcode22,Barcode31
TPDNAP-DE4-TPDNAP-UMI,U710-H12,Barcode22,Barcode34
TPDNAP-DE4-TPDNAP-UMI,U710-H2,Barcode22,Barcode4
TPDNAP-DE4-TPDNAP-UMI,U710-H3,Barcode22,Barcode7
TPDNAP-DE4-TPDNAP-UMI,U710-H4,Barcode22,Barcode10
TPDNAP-DE4-TPDNAP-UMI,U710-H5,Barcode22,Barcode13
TPDNAP-DE4-TPDNAP-UMI,U710-H6,Barcode22,Barcode16
TPDNAP-DE4-TPDNAP-UMI,U710-H7,Barcode22,Barcode19
TPDNAP-DE4-TPDNAP-UMI,U710-H8,Barcode22,Barcode22
TPDNAP-DE4-TPDNAP-UMI,U710-H9,Barcode22,Barcode25
TPDNAP-DE4-TPDNAP-UMI,U910-E1,Barcode13,Barcode1
TPDNAP-DE4-TPDNAP-UMI,U910-F1,Barcode16,Barcode1
TPDNAP-DE4-TPDNAP-UMI,U910-F10,Barcode16,Barcode28
TPDNAP-DE4-TPDNAP-UMI,U910-F11,Barcode16,Barcode31
TPDNAP-DE4-TPDNAP-UMI,U910-F12,Barcode16,Barcode34
TPDNAP-DE4-TPDNAP-UMI,U910-F2,Barcode16,Barcode4
TPDNAP-DE4-TPDNAP-UMI,U910-F3,Barcode16,Barcode7
TPDNAP-DE4-TPDNAP-UMI,U910-F4,Barcode16,Barcode10
TPDNAP-DE4-TPDNAP-UMI,U910-F5,Barcode16,Barcode13
TPDNAP-DE4-TPDNAP-UMI,U910-F6,Barcode16,Barcode16
TPDNAP-DE4-TPDNAP-UMI,U910-F7,Barcode16,Barcode19
TPDNAP-DE4-TPDNAP-UMI,U910-F8,Barcode16,Barcode22
TPDNAP-DE4-TPDNAP-UMI,U910-F9,Barcode16,Barcode25
TPDNAP-DE4-TPDNAP-UMI,UW12-A1,Barcode1,Barcode1
TPDNAP-DE4-TPDNAP-UMI,UW12-A2,Barcode1,Barcode4
TPDNAP-DE4-TPDNAP-UMI,UW12-A3,Barcode1,Barcode7
TPDNAP-DE4-TPDNAP-UMI,UW12-A4,Barcode1,Barcode10
TPDNAP-DE4-TPDNAP-UMI,UW34-A5,Barcode1,Barcode13
TPDNAP-DE4-TPDNAP-UMI,UW34-A6,Barcode1,Barcode16
TPDNAP-DE4-TPDNAP-UMI,UW5-A10,Barcode1,Barcode28
TPDNAP-DE4-TPDNAP-UMI,UW5-A7,Barcode1,Barcode19
TPDNAP-DE4-TPDNAP-UMI,UW5-A8,Barcode1,Barcode22
TPDNAP-DE4-TPDNAP-UMI,UW5-A9,Barcode1,Barcode25
TPDNAP-DE4-TPDNAP-UMI,UW78-A11,Barcode1,Barcode31
TPDNAP-DE4-TPDNAP-UMI,UW78-A12,Barcode1,Barcode34
TPDNAP-DE4-TPDNAP-UMI,UW78-B11,Barcode4,Barcode31
TPDNAP-DE4-TPDNAP-UMI,UW78-B12,Barcode4,Barcode34
TPDNAP-DE4-TPDNAP-UMI,UW78new-B10,Barcode4,Barcode28
TPDNAP-DE4-TPDNAP-UMI,noDNActrl,Barcode4,Barcode7
